,시가,고가,저가,현재가,거래량
248,371500,371500,359500,361500,431261
249,369500,372500,366500,371000,151790
250,368500,374500,368000,370500,164492
251,370000,371000,366500,366500,110098
252,369500,373000,367000,369000,281963
253,374000,377000,370500,371000,155525
254,373500,377000,371000,373500,144284
255,379000,381500,373000,374000,219027
256,387000,387000,379500,380000,206511
257,389000,390000,385000,388500,206847
258,387000,389000,381500,389000,172063
259,387000,390000,380500,387000,159712
260,377000,387000,377000,383500,247069
261,377000,379000,374000,377500,111499
262,378000,380000,373500,376500,117507
263,366500,377000,365500,376500,182955
264,372500,375000,369500,372000,124592
265,367000,376000,366500,370500,170894
266,365000,366000,359000,366000,142056
267,361000,364500,359000,361000,154119
268,366000,367000,360500,362500,201938
269,367500,369000,364000,366500,126328
270,368000,371500,364000,367000,275020
271,380000,383500,376000,379500,168236
272,375500,382000,370000,382000,422078
273,371000,371000,358500,363000,197333
274,369000,370000,365500,369500,101797
275,375000,375000,364500,366000,143247
276,366000,374000,364500,370500,224707
277,368000,370000,364500,370000,218477
278,365000,365500,359500,363000,130719
279,364500,369500,362500,365500,134842
280,364500,365500,358000,361000,176310
281,369500,375000,363500,364500,241496
282,373500,375500,364500,366000,217748
283,373500,376500,370000,373000,185818
284,384500,385000,371500,373500,301137
285,395000,400000,385500,387000,272909
286,391000,393500,387000,390500,232429
287,388000,393000,386000,392000,203931
288,385500,388500,380500,386000,186216
289,386500,389000,381500,385500,184192
290,387000,388000,375500,383500,321536
291,391000,392500,386500,387500,196217
292,390000,395000,388500,394500,187571
293,390500,394500,387500,390000,167684
294,383000,395000,382000,391000,391159
295,380000,382000,377000,380000,176600
296,375500,380000,373000,380000,174263
297,372000,378500,371000,378000,238938
298,372000,372500,368500,371500,161623
299,374000,375500,369000,372000,222401
300,368000,375000,366000,370000,200400
301,368000,373000,368000,369500,203911
302,369500,373000,367000,368000,186088
303,384500,385000,367000,368000,366641
304,378500,382500,368500,379000,292815
305,374500,378000,373000,378000,129353
306,376500,380500,371000,374500,169205
307,364000,376000,363000,373500,179731
308,365000,372500,364000,367500,163790
309,365000,371000,361500,369000,135604
310,369500,371500,361500,366000,168874
311,370000,373000,366000,370000,185149
312,365500,371000,363000,368500,175106
313,366000,369500,359500,360000,195538
314,356000,367500,356000,366000,338647
315,350500,356000,348500,356000,162948
316,349000,354500,347000,350500,116345
317,347000,353000,344000,349000,133523
318,352000,354000,344500,347000,160808
319,349500,353000,346500,352000,189562
320,346500,351500,343000,349500,191633
321,340000,350000,337500,343000,322157
322,327500,331500,321500,330500,146988
323,337500,341000,327500,328000,232935
324,351000,353500,335500,337000,227694
325,349000,352500,345500,347000,107893
326,359000,359500,345500,347000,172656
327,350000,356500,347500,353000,191680
328,357000,362500,355000,357500,104960
329,344000,361500,341500,358500,397305
330,351500,351500,338000,344000,253607
331,342000,355000,342000,352500,276651
332,349000,349500,337500,340000,253947
333,352500,358000,351500,351500,133815
334,356500,361000,346000,351500,175154
335,352500,361000,350000,355000,281643
336,351500,353000,346000,350000,166963
337,343500,351500,343500,349500,170594
338,347500,351000,340500,345000,179911
339,355000,360000,351000,351500,131615
340,358000,363500,350000,353500,175833
341,350000,357500,348000,354500,143860
342,364000,364000,354500,358500,214522
343,351500,366000,351500,365000,327930
344,349500,351500,344000,345500,303151
345,351000,351500,345500,347500,232946
346,344000,347500,340500,347000,300120
347,337000,343000,330000,343000,198864
348,330500,338000,329000,335000,210200
349,338000,343000,327500,328500,147880
350,341000,341000,335000,338000,128580
351,335500,343500,334500,340500,153279
352,343500,344500,335000,339500,170177
353,342000,346000,341000,345500,117733
354,344500,347500,342000,344500,181324
355,337000,342500,335000,342000,150336
356,338000,343000,332000,340000,265603
357,328500,335500,321500,335500,208344
358,328500,335000,323500,333500,180275
359,335000,339000,326500,327500,347828
360,345000,347000,335000,335000,345238
361,348000,350000,338500,340000,361104
362,359500,359500,345500,350000,214150
363,356500,363500,348000,356000,177433
364,347000,359000,345000,358000,239187
365,350000,352500,338500,339000,209045
366,336000,348000,330000,347000,251134
367,335500,346000,329500,338500,276286
368,340000,348000,331500,335500,448795
369,344000,344500,317500,324000,320435
370,323500,339500,323000,339500,264688
371,334500,343000,328000,330500,280451
372,334500,337000,326000,329000,150924
373,328000,339000,323000,337500,197166
374,314000,333500,313500,330000,241703
375,326000,328500,316000,317000,135868
376,325000,329000,321500,325000,136572
377,329000,329000,318500,318500,145684
